Freq.,V(n003)
1.08E-03,"(-5.09033753819600e-10dB,-6.29044507708850e-04°)"
1.08E-03,"(-5.11385748510662e-10dB,-6.30494605060602e-04°)"
1.08E-03,"(-5.13746422148924e-10dB,-6.31948045231985e-04°)"
1.09E-03,"(-5.16115774734386e-10dB,-6.33404835928995e-04°)"
1.09E-03,"(-5.18497663576914e-10dB,-6.34864984875390e-04°)"
1.09E-03,"(-5.20894017331442e-10dB,-6.36328499812735e-04°)"
1.09E-03,"(-5.23298085705704e-10dB,-6.37795388500440e-04°)"
1.10E-03,"(-5.25710833027166e-10dB,-6.39265658715803e-04°)"
1.10E-03,"(-5.28139009588095e-10dB,-6.40739318254050e-04°)"
1.10E-03,"(-5.30576829423690e-10dB,-6.42216374928379e-04°)"
1.10E-03,"(-5.33024292533952e-10dB,-6.43696836569995e-04°)"
1.11E-03,"(-5.35483327573814e-10dB,-6.45180711028159e-04°)"
1.11E-03,"(-5.37956827525676e-10dB,-6.46668006170227e-04°)"
1.11E-03,"(-5.40439970752205e-10dB,-6.48158729881688e-04°)"
1.11E-03,"(-5.42934685908334e-10dB,-6.49652890066212e-04°)"
1.12E-03,"(-5.45439044339130e-10dB,-6.51150494645687e-04°)"
1.12E-03,"(-5.47959796336859e-10dB,-6.52651551560263e-04°)"
1.12E-03,"(-5.50487298626855e-10dB,-6.54156068768394e-04°)"
1.12E-03,"(-5.53030230156317e-10dB,-6.55664054246883e-04°)"
1.13E-03,"(-5.55581840632980e-10dB,-6.57175515990915e-04°)"
1.13E-03,"(-5.58146951694176e-10dB,-6.58690462014113e-04°)"
1.13E-03,"(-5.60720741702573e-10dB,-6.60208900348569e-04°)"
1.14E-03,"(-5.63308996622969e-10dB,-6.61730839044891e-04°)"
1.14E-03,"(-5.65910752127899e-10dB,-6.63256286172247e-04°)"
1.14E-03,"(-5.68521186580029e-10dB,-6.64785249818406e-04°)"
1.14E-03,"(-5.71145121616693e-10dB,-6.66317738089781e-04°)"
1.15E-03,"(-5.73783521565357e-10dB,-6.67853759111473e-04°)"
1.15E-03,"(-5.76431564788687e-10dB,-6.69393321027311e-04°)"
1.15E-03,"(-5.79092144269085e-10dB,-6.70936431999900e-04°)"
1.15E-03,"(-5.81765260006549e-10dB,-6.72483100210660e-04°)"
1.16E-03,"(-5.84452840656014e-10dB,-6.74033333859872e-04°)"
1.16E-03,"(-5.87148135925212e-10dB,-6.75587141166722e-04°)"
1.16E-03,"(-5.89857896106410e-10dB,-6.77144530369340e-04°)"
1.16E-03,"(-5.92582121199609e-10dB,-6.78705509724849e-04°)"
1.17E-03,"(-5.95315989567474e-10dB,-6.80270087509406e-04°)"
1.17E-03,"(-5.98063358519873e-10dB,-6.81838272018247e-04°)"
1.17E-03,"(-6.00824228056806e-10dB,-6.83410071565730e-04°)"
1.17E-03,"(-6.03598598178272e-10dB,-6.84985494485380e-04°)"
1.18E-03,"(-6.06381647246939e-10dB,-6.86564549129932e-04°)"
1.18E-03,"(-6.09182054210005e-10dB,-6.88147243871376e-04°)"
1.18E-03,"(-6.11994997430139e-10dB,-6.89733587101004e-04°)"
1.19E-03,"(-6.14818548252406e-10dB,-6.91323587229448e-04°)"
1.19E-03,"(-6.17658492641607e-10dB,-6.92917252686730e-04°)"
1.19E-03,"(-6.20508080305475e-10dB,-6.94514591922307e-04°)"
1.19E-03,"(-6.23374061536277e-10dB,-6.96115613405113e-04°)"
1.20E-03,"(-6.26250650369212e-10dB,-6.97720325623603e-04°)"
1.20E-03,"(-6.29140739786681e-10dB,-6.99328737085802e-04°)"
1.20E-03,"(-6.32045294116151e-10dB,-7.00940856319348e-04°)"
1.21E-03,"(-6.34960456047754e-10dB,-7.02556691871535e-04°)"
1.21E-03,"(-6.37892011546291e-10dB,-7.04176252309364e-04°)"
1.21E-03,"(-6.40838031956828e-10dB,-7.05799546219584e-04°)"
1.21E-03,"(-6.43794659969499e-10dB,-7.07426582208735e-04°)"
1.22E-03,"(-6.46766717221637e-10dB,-7.09057368903201e-04°)"
1.22E-03,"(-6.49753239385775e-10dB,-7.10691914949252e-04°)"
1.22E-03,"(-6.52751333479514e-10dB,-7.12330229013086e-04°)"
1.22E-03,"(-6.55763892485254e-10dB,-7.13972319780884e-04°)"
1.23E-03,"(-6.58791880730460e-10dB,-7.15618195958845e-04°)"
1.23E-03,"(-6.61831440905267e-10dB,-7.17267866273242e-04°)"
1.23E-03,"(-6.64886430319541e-10dB,-7.18921339470463e-04°)"
1.24E-03,"(-6.67956848973283e-10dB,-7.20578624317057e-04°)"
1.24E-03,"(-6.71038839556624e-10dB,-7.22239729599785e-04°)"
1.24E-03,"(-6.74138188034367e-10dB,-7.23904664125661e-04°)"
1.24E-03,"(-6.77249108441710e-10dB,-7.25573436722001e-04°)"
1.25E-03,"(-6.80375458088520e-10dB,-7.27246056236473e-04°)"
1.25E-03,"(-6.83515308319864e-10dB,-7.28922531537139e-04°)"
1.25E-03,"(-6.86670587790675e-10dB,-7.30602871512503e-04°)"
1.26E-03,"(-6.89841296500953e-10dB,-7.32287085071561e-04°)"
1.26E-03,"(-6.93024541468299e-10dB,-7.33975181143845e-04°)"
1.26E-03,"(-6.96222251347646e-10dB,-7.35667168679473e-04°)"
1.26E-03,"(-6.99435390466459e-10dB,-7.37363056649194e-04°)"
1.27E-03,"(-7.02664923152207e-10dB,-7.39062854044438e-04°)"
1.27E-03,"(-7.05906992095022e-10dB,-7.40766569877360e-04°)"
1.27E-03,"(-7.09166418932238e-10dB,-7.42474213180894e-04°)"
1.28E-03,"(-7.12438382026521e-10dB,-7.44185793008792e-04°)"
1.28E-03,"(-7.15728667342671e-10dB,-7.45901318435683e-04°)"
1.28E-03,"(-7.19032453243355e-10dB,-7.47620798557109e-04°)"
1.29E-03,"(-7.22352632710974e-10dB,-7.49344242489585e-04°)"
1.29E-03,"(-7.25686312763126e-10dB,-7.51071659370637e-04°)"
1.29E-03,"(-7.29034457727280e-10dB,-7.52803058358859e-04°)"
1.29E-03,"(-7.32398031930901e-10dB,-7.54538448633955e-04°)"
1.30E-03,"(-7.35778964028922e-10dB,-7.56277839396792e-04°)"
1.30E-03,"(-7.39174361038945e-10dB,-7.58021239869446e-04°)"
1.30E-03,"(-7.42587115943368e-10dB,-7.59768659295254e-04°)"
1.31E-03,"(-7.46013371432325e-10dB,-7.61520106938858e-04°)"
1.31E-03,"(-7.49457949143150e-10dB,-7.63275592086261e-04°)"
1.31E-03,"(-7.52917956093443e-10dB,-7.65035124044869e-04°)"
1.32E-03,"(-7.56393392283202e-10dB,-7.66798712143547e-04°)"
1.32E-03,"(-7.59883293384964e-10dB,-7.68566365732661e-04°)"
1.32E-03,"(-7.63393445363525e-10dB,-7.70338094184137e-04°)"
1.32E-03,"(-7.66915169271688e-10dB,-7.72113906891501e-04°)"
1.33E-03,"(-7.70455215401718e-10dB,-7.73893813269936e-04°)"
1.33E-03,"(-7.74010690771217e-10dB,-7.75677822756328e-04°)"
1.33E-03,"(-7.77585452690049e-10dB,-7.77465944809318e-04°)"
1.34E-03,"(-7.81173715193416e-10dB,-7.79258188909351e-04°)"
1.34E-03,"(-7.84779335591183e-10dB,-7.81054564558726e-04°)"
1.34E-03,"(-7.88400385228419e-10dB,-7.82855081281650e-04°)"
1.35E-03,"(-7.92039757087522e-10dB,-7.84659748624282e-04°)"
1.35E-03,"(-7.95698415495960e-10dB,-7.86468576154788e-04°)"
1.35E-03,"(-7.99370574488932e-10dB,-7.88281573463393e-04°)"
1.36E-03,"(-8.03058162721372e-10dB,-7.90098750162427e-04°)"
1.36E-03,"(-8.06766001830613e-10dB,-7.91920115886379e-04°)"
1.36E-03,"(-8.10488305851855e-10dB,-7.93745680291952e-04°)"
1.36E-03,"(-8.14230860749898e-10dB,-7.95575453058105e-04°)"
1.37E-03,"(-8.17990773542343e-10dB,-7.97409443886109e-04°)"
1.37E-03,"(-8.21764186919322e-10dB,-7.99247662499604e-04°)"
1.37E-03,"(-8.25558815500569e-10dB,-8.01090118644640e-04°)"
1.38E-03,"(-8.29368873321284e-10dB,-8.02936822089738e-04°)"
1.38E-03,"(-8.33197253363867e-10dB,-8.04787782625934e-04°)"
1.38E-03,"(-8.37042026973385e-10dB,-8.06643010066837e-04°)"
1.39E-03,"(-8.40906087132237e-10dB,-8.08502514248678e-04°)"
1.39E-03,"(-8.44788469512957e-10dB,-8.10366305030364e-04°)"
1.39E-03,"(-8.48686281133145e-10dB,-8.12234392293527e-04°)"
1.40E-03,"(-8.52605307957602e-10dB,-8.14106785942580e-04°)"
1.40E-03,"(-8.56541692676460e-10dB,-8.15983495904768e-04°)"
1.40E-03,"(-8.60494470962252e-10dB,-8.17864532130221e-04°)"
1.41E-03,"(-8.64464607142446e-10dB,-8.19749904592005e-04°)"
1.41E-03,"(-8.68454994199442e-10dB,-8.21639623286177e-04°)"
1.41E-03,"(-8.72464667805772e-10dB,-8.23533698231837e-04°)"
1.42E-03,"(-8.76489770651571e-10dB,-8.25432139471184e-04°)"
1.42E-03,"(-8.80538017356571e-10dB,-8.27334957069561e-04°)"
1.42E-03,"(-8.84601693301040e-10dB,-8.29242161115521e-04°)"
1.43E-03,"(-8.88684655794843e-10dB,-8.31153761720867e-04°)"
1.43E-03,"(-8.92785940510515e-10dB,-8.33069769020717e-04°)"
1.43E-03,"(-8.96906511775521e-10dB,-8.34990193173550e-04°)"
1.44E-03,"(-9.01047333917330e-10dB,-8.36915044361265e-04°)"
1.44E-03,"(-9.05205513953540e-10dB,-8.38844332789229e-04°)"
1.44E-03,"(-9.09383944866552e-10dB,-8.40778068686340e-04°)"
1.45E-03,"(-9.13579733673965e-10dB,-8.42716262305071e-04°)"
1.45E-03,"(-9.17798666340581e-10dB,-8.44658923921532e-04°)"
1.45E-03,"(-9.22036885556531e-10dB,-8.46606063835522e-04°)"
1.46E-03,"(-9.26292462666884e-10dB,-8.48557692370583e-04°)"
1.46E-03,"(-9.30568290654038e-10dB,-8.50513819874055e-04°)"
1.46E-03,"(-9.34863405190528e-10dB,-8.52474456717132e-04°)"
1.47E-03,"(-9.39176841948886e-10dB,-8.54439613294914e-04°)"
1.47E-03,"(-9.43513422566446e-10dB,-8.56409300026466e-04°)"
1.47E-03,"(-9.47867361078408e-10dB,-8.58383527354872e-04°)"
1.48E-03,"(-9.52242514794639e-10dB,-8.60362305747287e-04°)"
1.48E-03,"(-9.56638883715139e-10dB,-8.62345645694999e-04°)"
1.48E-03,"(-9.61054539184973e-10dB,-8.64333557713477e-04°)"
1.49E-03,"(-9.65490445531611e-10dB,-8.66326052342434e-04°)"
1.49E-03,"(-9.69947567082516e-10dB,-8.68323140145877e-04°)"
1.49E-03,"(-9.74423010855291e-10dB,-8.70324831712168e-04°)"
1.50E-03,"(-9.78920634159801e-10dB,-8.72331137654076e-04°)"
1.50E-03,"(-9.83438508341114e-10dB,-8.74342068608834e-04°)"
1.50E-03,"(-9.87980490709095e-10dB,-8.76357635238200e-04°)"
1.51E-03,"(-9.92536937989079e-10dB,-8.78377848228506e-04°)"
1.51E-03,"(-9.97122315093065e-10dB,-8.80402718290721e-04°)"
1.51E-03,"(-1.00172408576399e-09dB,-8.82432256160503e-04°)"
1.52E-03,"(-1.00634610731171e-09dB,-8.84466472598262e-04°)"
1.52E-03,"(-1.01099223704610e-09dB,-8.86505378389210e-04°)"
1.52E-03,"(-1.01565668900237e-09dB,-8.88548984343422e-04°)"
1.53E-03,"(-1.02034621347276e-09dB,-8.90597301295893e-04°)"
1.53E-03,"(-1.02505598881997e-09dB,-8.92650340106597e-04°)"
1.53E-03,"(-1.02978890802637e-09dB,-8.94708111660541e-04°)"
1.54E-03,"(-1.03454207810958e-09dB,-8.96770626867823e-04°)"
1.54E-03,"(-1.03931549906958e-09dB,-8.98837896663696e-04°)"
1.55E-03,"(-1.04411109956133e-09dB,-9.00909932008618e-04°)"
1.55E-03,"(-1.04893273689468e-09dB,-9.02986743888312e-04°)"
1.55E-03,"(-1.05377462510483e-09dB,-9.05068343313831e-04°)"
1.56E-03,"(-1.05864062150165e-09dB,-9.07154741321605e-04°)"
1.56E-03,"(-1.06352590444780e-09dB,-9.09245948973511e-04°)"
1.56E-03,"(-1.06843433125316e-09dB,-9.11341977356923e-04°)"
1.57E-03,"(-1.07336300893532e-09dB,-9.13442837584773e-04°)"
1.57E-03,"(-1.07831965211402e-09dB,-9.15548540795615e-04°)"
1.57E-03,"(-1.08329558184205e-09dB,-9.17659098153677e-04°)"
1.58E-03,"(-1.08829754841169e-09dB,-9.19774520848924e-04°)"
1.58E-03,"(-1.09332073018560e-09dB,-9.21894820097116e-04°)"
1.58E-03,"(-1.09836802014617e-09dB,-9.24020007139869e-04°)"
1.59E-03,"(-1.10343748963849e-09dB,-9.26150093244714e-04°)"
1.59E-03,"(-1.10852913866254e-09dB,-9.28285089705155e-04°)"
1.60E-03,"(-1.11364875318312e-09dB,-9.30425007840729e-04°)"
1.60E-03,"(-1.11878765425305e-09dB,-9.32569858997071e-04°)"
1.60E-03,"(-1.12394969918217e-09dB,-9.34719654545967e-04°)"
1.61E-03,"(-1.12913874528037e-09dB,-9.36874405885420e-04°)"
1.61E-03,"(-1.13434997091030e-09dB,-9.39034124439706e-04°)"
1.61E-03,"(-1.13958916203677e-09dB,-9.41198821659439e-04°)"
1.62E-03,"(-1.14484667538511e-09dB,-9.43368509021627e-04°)"
1.62E-03,"(-1.15013118990252e-09dB,-9.45543198029737e-04°)"
1.63E-03,"(-1.15544174126154e-09dB,-9.47722900213753e-04°)"
1.63E-03,"(-1.16077447215229e-09dB,-9.49907627130240e-04°)"
1.63E-03,"(-1.16613227555717e-09dB,-9.52097390362403e-04°)"
1.64E-03,"(-1.17151418714873e-09dB,-9.54292201520146e-04°)"
1.64E-03,"(-1.17692309990936e-09dB,-9.56492072240141e-04°)"
1.64E-03,"(-1.18235419220173e-09dB,-9.58697014185885e-04°)"
1.65E-03,"(-1.18781228566316e-09dB,-9.60907039047758e-04°)"
1.65E-03,"(-1.19329448731127e-09dB,-9.63122158543093e-04°)"
1.66E-03,"(-1.19880272580098e-09dB,-9.65342384416233e-04°)"
1.66E-03,"(-1.20433700113230e-09dB,-9.67567728438595e-04°)"
1.66E-03,"(-1.20989345599535e-09dB,-9.69798202408731e-04°)"
1.67E-03,"(-1.21548173366480e-09dB,-9.72033818152391e-04°)"
1.67E-03,"(-1.22109026221106e-09dB,-9.74274587522588e-04°)"
1.67E-03,"(-1.22672579192640e-09dB,-9.76520522399659e-04°)"
1.68E-03,"(-1.23238832281080e-09dB,-9.78771634691326e-04°)"
1.68E-03,"(-1.23807689053681e-09dB,-9.81027936332762e-04°)"
1.69E-03,"(-1.24379245943188e-09dB,-9.83289439286654e-04°)"
1.69E-03,"(-1.24952924353123e-09dB,-9.85556155543267e-04°)"
1.69E-03,"(-1.25530074341939e-09dB,-9.87828097120502e-04°)"
1.70E-03,"(-1.26109442283928e-09dB,-9.90105276063969e-04°)"
1.70E-03,"(-1.26691606775571e-09dB,-9.92387704447044e-04°)"
1.71E-03,"(-1.27276278518627e-09dB,-9.94675394370935e-04°)"
1.71E-03,"(-1.27863939676831e-09dB,-9.96968357964745e-04°)"
1.71E-03,"(-1.28454011653702e-09dB,-9.99266607385541e-04°)"
1.72E-03,"(-1.29046976612974e-09dB,-1.00157015481841e-03°)"
1.72E-03,"(-1.29642641689152e-09dB,-1.00387901247653e-03°)"
1.73E-03,"(-1.30241006882238e-09dB,-1.00619319260124e-03°)"
1.73E-03,"(-1.30842168624978e-09dB,-1.00851270746209e-03°)"
1.73E-03,"(-1.31446126917371e-09dB,-1.01083756935692e-03°)"
1.74E-03,"(-1.32052881759419e-09dB,-1.01316779061190e-03°)"
1.74E-03,"(-1.32662433151120e-09dB,-1.01550338358166e-03°)"
1.75E-03,"(-1.33274491794235e-09dB,-1.01784436064925e-03°)"
1.75E-03,"(-1.33889829150737e-09dB,-1.02019073422632e-03°)"
1.75E-03,"(-1.34507866624147e-09dB,-1.02254251675310e-03°)"
1.76E-03,"(-1.35128604214464e-09dB,-1.02489972069851e-03°)"
1.76E-03,"(-1.35752524085421e-09dB,-1.02726235856021e-03°)"
1.77E-03,"(-1.36378854775045e-09dB,-1.02963044286467e-03°)"
1.77E-03,"(-1.37008464178057e-09dB,-1.03200398616723e-03°)"
1.77E-03,"(-1.37640966563469e-09dB,-1.03438300105219e-03°)"
1.78E-03,"(-1.38276072633042e-09dB,-1.03676750013285e-03°)"
1.78E-03,"(-1.38914553848749e-09dB,-1.03915749605159e-03°)"
1.79E-03,"(-1.39555735181363e-09dB,-1.04155300147991e-03°)"
1.79E-03,"(-1.40200002361871e-09dB,-1.04395402911857e-03°)"
1.79E-03,"(-1.40846969659286e-09dB,-1.04636059169756e-03°)"
1.80E-03,"(-1.41496926371849e-09dB,-1.04877270197623e-03°)"
1.80E-03,"(-1.42150065365052e-09dB,-1.05119037274337e-03°)"
1.81E-03,"(-1.42806290206149e-09dB,-1.05361361681722e-03°)"
1.81E-03,"(-1.43465697327887e-09dB,-1.05604244704557e-03°)"
1.82E-03,"(-1.44127708133786e-09dB,-1.05847687630585e-03°)"
1.82E-03,"(-1.44793094085818e-09dB,-1.06091691750515e-03°)"
1.82E-03,"(-1.45461276587504e-09dB,-1.06336258358034e-03°)"
1.83E-03,"(-1.46132834235325e-09dB,-1.06581388749808e-03°)"
1.83E-03,"(-1.46807477731039e-09dB,-1.06827084225495e-03°)"
1.84E-03,"(-1.47485014209154e-09dB,-1.07073346087747e-03°)"
1.84E-03,"(-1.48165732967910e-09dB,-1.07320175642222e-03°)"
1.85E-03,"(-1.48849537574560e-09dB,-1.07567574197583e-03°)"
1.85E-03,"(-1.49536620894597e-09dB,-1.07815543065515e-03°)"
1.85E-03,"(-1.50226693629782e-09dB,-1.08064083560723e-03°)"
1.86E-03,"(-1.50920527242087e-09dB,-1.08313197000943e-03°)"
1.86E-03,"(-1.51616964538553e-09dB,-1.08562884706952e-03°)"
1.87E-03,"(-1.52316680548407e-09dB,-1.08813148002567e-03°)"
1.87E-03,"(-1.53019675271648e-09dB,-1.09063988214661e-03°)"
1.87E-03,"(-1.53726045141023e-09dB,-1.09315406673162e-03°)"
1.88E-03,"(-1.54435886589278e-09dB,-1.09567404711067e-03°)"
1.88E-03,"(-1.55148524587188e-09dB,-1.09819983664445e-03°)"
1.89E-03,"(-1.55864537731232e-09dB,-1.10073144872443e-03°)"
1.89E-03,"(-1.56583926021411e-09dB,-1.10326889677297e-03°)"
1.90E-03,"(-1.57306978755963e-09dB,-1.10581219424337e-03°)"
1.90E-03,"(-1.58033020905663e-09dB,-1.10836135461993e-03°)"
1.91E-03,"(-1.58762438201496e-09dB,-1.11091639141806e-03°)"
1.91E-03,"(-1.59495037777971e-09dB,-1.11347731818431e-03°)"
1.91E-03,"(-1.60231398231567e-09dB,-1.11604414849644e-03°)"
1.92E-03,"(-1.60971326696790e-09dB,-1.11861689596355e-03°)"
1.92E-03,"(-1.61713955278921e-09dB,-1.12119557422607e-03°)"
1.93E-03,"(-1.62460441170919e-09dB,-1.12378019695592e-03°)"
1.93E-03,"(-1.63210302209051e-09dB,-1.12637077785649e-03°)"
1.94E-03,"(-1.63963634826065e-09dB,-1.12896733066279e-03°)"
1.94E-03,"(-1.64720631887452e-09dB,-1.13156986914149e-03°)"
1.95E-03,"(-1.65480714796734e-09dB,-1.13417840709099e-03°)"
1.95E-03,"(-1.66244462150390e-09dB,-1.13679295834149e-03°)"
1.95E-03,"(-1.67012066813914e-09dB,-1.13941353675509e-03°)"
1.96E-03,"(-1.67782950190825e-09dB,-1.14204015622582e-03°)"
1.96E-03,"(-1.68557401579364e-09dB,-1.14467283067977e-03°)"
1.97E-03,"(-1.69335420979530e-09dB,-1.14731157407512e-03°)"
1.97E-03,"(-1.70117104824071e-09dB,-1.14995640040221e-03°)"
1.98E-03,"(-1.70902163814746e-09dB,-1.15260732368366e-03°)"
1.98E-03,"(-1.71691080115289e-09dB,-1.15526435797439e-03°)"
1.99E-03,"(-1.72483467994713e-09dB,-1.15792751736174e-03°)"
1.99E-03,"(-1.73279616751258e-09dB,-1.16059681596551e-03°)"
2.00E-03,"(-1.74079526384924e-09dB,-1.16327226793806e-03°)"
2.00E-03,"(-1.74883004030217e-09dB,-1.16595388746437e-03°)"
2.00E-03,"(-1.75690242552632e-09dB,-1.16864168876211e-03°)"
2.01E-03,"(-1.76500952653928e-09dB,-1.17133568608175e-03°)"
2.01E-03,"(-1.77315809363331e-09dB,-1.17403589370658e-03°)"
2.02E-03,"(-1.78134426949856e-09dB,-1.17674232595285e-03°)"
2.02E-03,"(-1.78956516115261e-09dB,-1.17945499716977e-03°)"
2.03E-03,"(-1.79782462590535e-09dB,-1.18217392173968e-03°)"
2.03E-03,"(-1.80612266375676e-09dB,-1.18489911407803e-03°)"
2.04E-03,"(-1.81446313201672e-09dB,-1.18763058863352e-03°)"
2.04E-03,"(-1.82283542308309e-09dB,-1.19036835988817e-03°)"
2.05E-03,"(-1.83125110888547e-09dB,-1.19311244235735e-03°)"
2.05E-03,"(-1.83970247480413e-09dB,-1.19586285058992e-03°)"
2.06E-03,"(-1.84819530680386e-09dB,-1.19861959916828e-03°)"
2.06E-03,"(-1.85672574757481e-09dB,-1.20138270270842e-03°)"
2.07E-03,"(-1.86529476144444e-09dB,-1.20415217586005e-03°)"
2.07E-03,"(-1.87390620572262e-09dB,-1.20692803330664e-03°)"
2.07E-03,"(-1.88255525877200e-09dB,-1.20971028976552e-03°)"
2.08E-03,"(-1.89124288492007e-09dB,-1.21249895998791e-03°)"
2.08E-03,"(-1.89997487013162e-09dB,-1.21529405875909e-03°)"
2.09E-03,"(-1.90874446411437e-09dB,-1.21809560089838e-03°)"
2.09E-03,"(-1.91755648850568e-09dB,-1.22090360125928e-03°)"
2.10E-03,"(-1.92640515734073e-09dB,-1.22371807472952e-03°)"
2.10E-03,"(-1.93529722091179e-09dB,-1.22653903623118e-03°)"
2.11E-03,"(-1.94422882190901e-09dB,-1.22936650072070e-03°)"
2.11E-03,"(-1.95320574629716e-09dB,-1.23220048318902e-03°)"
2.12E-03,"(-1.96222027945654e-09dB,-1.23504099866163e-03°)"
2.12E-03,"(-1.97127820735192e-09dB,-1.23788806219866e-03°)"
2.13E-03,"(-1.98037856565586e-09dB,-1.24074168889497e-03°)"
2.13E-03,"(-1.98951749705847e-09dB,-1.24360189388018e-03°)"
2.14E-03,"(-1.99869789454216e-09dB,-1.24646869231884e-03°)"
2.14E-03,"(-2.00792554407174e-09dB,-1.24934209941041e-03°)"
2.15E-03,"(-2.01719273102747e-09dB,-1.25222213038941e-03°)"
2.15E-03,"(-2.02650331271920e-09dB,-1.25510880052549e-03°)"
2.16E-03,"(-2.03585921780189e-09dB,-1.25800212512348e-03°)"
2.16E-03,"(-2.04525562463820e-09dB,-1.26090211952350e-03°)"
2.17E-03,"(-2.05469928352038e-09dB,-1.26380879910102e-03°)"
2.17E-03,"(-2.06417958684631e-09dB,-1.26672217926699e-03°)"
2.18E-03,"(-2.07371003520053e-09dB,-1.26964227546784e-03°)"
2.18E-03,"(-2.08328098530836e-09dB,-1.27256910318564e-03°)"
2.19E-03,"(-2.09289533015221e-09dB,-1.27550267793813e-03°)"
2.19E-03,"(-2.10255596271447e-09dB,-1.27844301527884e-03°)"
2.20E-03,"(-2.11226288299515e-09dB,-1.28139013079715e-03°)"
2.20E-03,"(-2.12201223368438e-09dB,-1.28434404011836e-03°)"
2.21E-03,"(-2.13180497910963e-09dB,-1.28730475890381e-03°)"
2.21E-03,"(-2.14164594090823e-09dB,-1.29027230285093e-03°)"
2.22E-03,"(-2.15153126177031e-09dB,-1.29324668769336e-03°)"
2.22E-03,"(-2.16146287035081e-09dB,-1.29622792920097e-03°)"
2.23E-03,"(-2.17143594501239e-09dB,-1.29921604318002e-03°)"
2.23E-03,"(-2.18146109335719e-09dB,-1.30221104547319e-03°)"
2.24E-03,"(-2.19153060076547e-09dB,-1.30521295195968e-03°)"
2.24E-03,"(-2.20164736021964e-09dB,-1.30822177855531e-03°)"
2.25E-03,"(-2.21181137171969e-09dB,-1.31123754121256e-03°)"
2.25E-03,"(-2.22201877795577e-09dB,-1.31426025592072e-03°)"
2.26E-03,"(-2.23227440056519e-09dB,-1.31728993870592e-03°)"
2.26E-03,"(-2.24257823954797e-09dB,-1.32032660563123e-03°)"
2.27E-03,"(-2.25293125923156e-09dB,-1.32337027279676e-03°)"
2.28E-03,"(-2.26332960230611e-09dB,-1.32642095633972e-03°)"
2.28E-03,"(-2.27377423309908e-09dB,-1.32947867243455e-03°)"
2.29E-03,"(-2.28427093757526e-09dB,-1.33254343729294e-03°)"
2.29E-03,"(-2.29481392976987e-09dB,-1.33561526716398e-03°)"
2.30E-03,"(-2.30540803132023e-09dB,-1.33869417833420e-03°)"
2.30E-03,"(-2.31605131357141e-09dB,-1.34178018712768e-03°)"
2.31E-03,"(-2.32673895488608e-09dB,-1.34487330990613e-03°)"
2.31E-03,"(-2.33747770555650e-09dB,-1.34797356306898e-03°)"
2.32E-03,"(-2.34826949423760e-09dB,-1.35108096305347e-03°)"
2.32E-03,"(-2.35910853496460e-09dB,-1.35419552633471e-03°)"
